ID#,APN,Street Address,Auction Type,City,Postal Code,Tax Rate Area,Land Value,Improvements,Total Assessed Value,Assessed Value Year,Property Description,Timeshare Association,Your Max Bid,Opening Bid,Best Bid,Status,Close(PDT),Canceled
0003,1030911500,919 OLIVE AVE FALLBROOK CA 92028-1560,Improved Property,FALLBROOK,92028,75063," $ 72,491.00 "," $ 62,134.00 "," $ 134,625.00 ",2025,S 60 FT OF N 220 FT OF W 110 FT OF S 1/2 BLK 67,,   - ," $ 68,000.00 ",   - , - ,03/16/2026 08:00:00,
0034,1130600200,23436 HIGHWAY 79 WARNER SPRINGS CA 92086-9234,Improved Property,WARNER SPRINGS,92086,98010," $ 170,671.00 "," $ 85,335.00 "," $ 256,006.00 ",2025,6.06 AC M/L IN LOT 4 SEC 7-9-2E,,   - ," $ 129,000.00 ",   - , - ,03/16/2026 08:00:00,
0036,1152010500,29972 CHIHUAHUA VALLEY RD WARNER SPRINGS CA 92086-9214,Improved Property,WARNER SPRINGS,92086,98000," $ 739,587.00 "," $ 113,781.00 "," $ 853,368.00 ",2025,NE 1/4 OF NW 1/4 SEC 16-9-3E,,   - ," $ 427,000.00 ",   - , - ,03/16/2026 08:00:00,
0045,1281901300,32456 LILAC RD VALLEY CENTER CA 92082-4317,Improved Property,VALLEY CENTER,92082,94007," $ 100,395.00 "," $ 11,153.00 "," $ 111,548.00 ",2025,POR SW 1/4 OF SW 1/4 OF SEC 15-10-2W,,   - ," $ 56,000.00 ",   - , - ,03/16/2026 08:00:00,
0052,1401842000,1463 DE ANZA DR BORREGO SPRINGS CA 92004,Improved Property,BORREGO SPRINGS,92004,58020," $ 75,330.00 "," $ 150,673.00 "," $ 226,003.00 ",2025,LOT 58,,   - ," $ 114,000.00 ",   - , - ,03/16/2026 08:00:00,WITHDRAWN
0054,1413301100,1901 TREBUCHET DR BORREGO SPRINGS CA 92004-4213,Improved Property,BORREGO SPRINGS,92004,58020," $ 32,023.00 "," $ 44,833.00 "," $ 76,856.00 ",2025,LOT 102,,   - ," $ 39,000.00 ",   - , - ,03/16/2026 08:00:00,
0060,1552722012,1024 LAGUNA DR #12 CARLSBAD CA 92008-1872,Improved Property,CARLSBAD,92008,09000," $ 477,599.00 "," $ 141,508.00 "," $ 619,107.00 ",2025,US 12PER DOC88-287381&UND INT IN UNMBD LOT,,   - ," $ 310,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0061,1581903136,652 KUMQUAT WAY OCEANSIDE CA 92058-1661,Improved Property,OCEANSIDE,92058,07067," $ 224,917.00 "," $ 100,620.00 "," $ 325,537.00 ",2025,US 36PER DOC80-392550&UND INT IN LOT 1,,   - ," $ 163,000.00 ",   - , - ,03/16/2026 08:00:00,
0063,1592402800,2167 N SANTA FE AVE VISTA CA 92084-2503,Improved Property,VISTA,92084,12253," $ 896,893.00 "," $ 17,976.00 "," $ 914,869.00 ",2025,(EX RDS)PAR PER ROS 10995 IN LOT 5,,   - ," $ 458,000.00 ",   - , - ,03/16/2026 08:00:00,
0064,1606212800,455 LEXINGTON CIR OCEANSIDE CA 92057-7355,Improved Property,OCEANSIDE,92057,07077," $ 483,391.00 "," $ 314,200.00 "," $ 797,591.00 ",2025,LOT 28,,   - ," $ 265,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0093,1883211400,15627 VIA SALVADOR VALLEY CENTER CA 92082-6127,Improved Property,VALLEY CENTER,92082,94075," $ 99,595.00 "," $ 279,806.00 "," $ 379,401.00 ",2025,PAR 1,,   - ," $ 190,000.00 ",   - , - ,03/16/2026 08:00:00,
0104,1982422400,DOUBLE O RD BORREGO SPRINGS CA 92004,Improved Property,BORREGO SPRINGS,92004,58019," $ 13,000.00 ", $ 500.00 ," $ 13,500.00 ",2025,LOT 99,,   - ," $ 7,000.00 ",   - , - ,03/16/2026 08:00:00,WITHDRAWN
