ID#         Opening Bid  Status       Address
---          ----------  ------       -------
0003         $68,000.00  Upcoming     919 OLIVE AVE FALLBROOK CA 92028-1560
0034        $129,000.00  Upcoming     23436 HIGHWAY 79 WARNER SPRINGS CA 92086-9234
0036        $427,000.00  Upcoming     29972 CHIHUAHUA VALLEY RD WARNER SPRINGS CA 92086-9214
0045         $56,000.00  Upcoming     32456 LILAC RD VALLEY CENTER CA 92082-4317
0052        $114,000.00  Canceled     1463 DE ANZA DR BORREGO SPRINGS CA 92004
0054         $39,000.00  Upcoming     1901 TREBUCHET DR BORREGO SPRINGS CA 92004-4213
0060        $310,000.00  Upcoming     1024 LAGUNA DR #12 CARLSBAD CA 92008-1872
0061        $163,000.00  Upcoming     652 KUMQUAT WAY OCEANSIDE CA 92058-1661
0063        $458,000.00  Upcoming     2167 N SANTA FE AVE VISTA CA 92084-2503
0064        $265,000.00  Canceled     455 LEXINGTON CIR OCEANSIDE CA 92057-7355
0093        $190,000.00  Upcoming     15627 VIA SALVADOR VALLEY CENTER CA 92082-6127
0104          $7,000.00  Canceled     DOUBLE O RD BORREGO SPRINGS CA 92004
0105          $7,000.00  Canceled     FRYING PAN RD BORREGO SPRINGS CA 92004
0109         $63,000.00  Canceled     3439 EL TEJON RD BORREGO SPRINGS CA 92004-4266
0112         $70,000.00  Canceled     1702 LAS CASITAS DR BORREGO SPRINGS CA 92004-5403
0118        $533,000.00  Upcoming     5751 PALMER WAY #G CARLSBAD CA 92010-7249
0123         $51,000.00  Canceled     7319 ESTRELLA DE MAR #10 CARLSBAD CA 92009-6725
0124        $168,000.00  Canceled     695 CASITA LN SAN MARCOS CA 92069-8319
0125        $157,000.00  Upcoming     120 PACIFIC ST #K1 SAN MARCOS CA 92069-1268
0140        $136,000.00  Canceled     1733 ANZA PL ESCONDIDO CA 92027-2501
0152        $707,000.00  Upcoming     2887 CRYSTAL RIDGE RD ENCINITAS CA 92024-6616
0205         $91,000.00  Upcoming     615 ELM ST RAMONA CA 92065-1914
0207        $143,000.00  Upcoming     155 KALBAUGH ST RAMONA CA 92065-3827
0208        $109,000.00  Upcoming     2111 TOCA LN RAMONA CA 92065-3628
0240        $409,000.00  Upcoming     11608 TRAILBROOK LN SAN DIEGO CA 92128-6341
0243         $49,000.00  Upcoming     13304 TAWANKA DR POWAY CA 92064-4521
0244        $157,000.00  Canceled     12609 ROBISON BLVD #103 POWAY CA 92064-4422
0257         $92,000.00  Upcoming     4075 ROSENDA CT #278 SAN DIEGO CA 92122-1963
0258        $230,000.00  Upcoming     7959 CAMINITO DIA #02 SAN DIEGO CA 92122-1607
0259        $349,000.00  Canceled     3995 CAMINO LINDO SAN DIEGO CA 92122-2016
0260        $128,000.00  Canceled     6125 CAMINITO BAEZA SAN DIEGO CA 92122-3437
0262        $598,000.00  Canceled     1624 CAMINITO SOLIDAGO LA JOLLA CA 92037-7158
0263         $31,000.00  Upcoming     4850 JENNIFER CT SAN DIEGO CA 92117-1809
0265        $192,000.00  Upcoming     10225 ALPHONSE ST SANTEE CA 92071-1281
0272        $102,000.00  Canceled     16045 VIEWSIDE LN EL CAJON CA 92021-2654
0289         $35,000.00  Upcoming     8258 MORRIS RANCH LN MOUNT LAGUNA CA 91948
0291         $85,000.00  Upcoming     5380 ALTA BAHIA CT SAN DIEGO CA 92109-1919
0293        $103,000.00  Upcoming     3558 MT ABBEY AVE SAN DIEGO CA 92111-4529
0294        $578,000.00  Upcoming     815 TANGIERS CT SAN DIEGO CA 92109-7031
0296        $357,000.00  Upcoming     4208 NAPIER ST SAN DIEGO CA 92110-3443
0297      $1,121,000.00  Upcoming     4966 NAPLES PL SAN DIEGO CA 92110-3816
0300        $252,000.00  Upcoming     4249 LOMA RIVIERA LN SAN DIEGO CA 92110-5517
0311        $109,000.00  Upcoming     5700 BALTIMORE DR #220 LA MESA CA 91942-1643
0312         $78,900.00  Upcoming     4343 N TALMADGE DR SAN DIEGO CA 92116-2526
0316        $377,000.00  Upcoming     4211 SUMMIT DR LA MESA CA 91941-7841
0317        $350,000.00  Canceled     4250 EL CAJON BLVD SAN DIEGO CA 92105-1230
0318          $8,000.00  Upcoming     3519 VAN DYKE AVE #02 SAN DIEGO CA 92105-3470
0332        $128,000.00  Upcoming     8332 CASE ST LA MESA CA 91942-2919
0334         $37,000.00  Upcoming     9966 DOLORES ST #209 SPRING VALLEY CA 91977-1525
0338         $27,000.00  Upcoming     3322 YBARRA RD SPRING VALLEY CA 91978-1114
0340        $399,000.00  Upcoming     5602 TRAFALGAR RD EL CAJON CA 92019-1638
0342         $91,000.00  Upcoming     1702 LAYNE PL EL CAJON CA 92019-4265
0346        $459,000.00  Upcoming     22453-22465 JAPATUL VALLEY RD ALPINE CA 91901-3465
0350        $197,000.00  Upcoming     425 W BEECH ST #534 SAN DIEGO CA 92101-2959
0353        $657,000.00  Upcoming     888 W E ST #1506 SAN DIEGO CA 92101-6007
0355        $133,000.00  Canceled     1465 C ST #3101 SAN DIEGO CA 92101-5739
0356        $469,000.00  Upcoming     550 FRONT ST #902 SAN DIEGO CA 92101-7093
0357        $479,000.00  Upcoming     2558 IMPERIAL AVE SAN DIEGO CA 92102-3919
0358        $109,000.00  Upcoming     1770 AVENIDA DEL MUNDO #803 CORONADO CA 92118-4004
0361        $163,000.00  Upcoming     6855 RADIO DR SAN DIEGO CA 92114-1611
0368        $181,000.00  Upcoming     1804 GAMMA ST NATIONAL CITY CA 91950-1829
0369         $68,000.00  Upcoming     4825 MAGNUS WAY SAN DIEGO CA 92113-3515
0371        $143,000.00  Upcoming     2241 MELROSE ST NATIONAL CITY CA 91950-2058
0372         $39,000.00  Upcoming     312 J AVE #44 NATIONAL CITY CA 91950-1564
0373        $116,000.00  Upcoming     422 E 6TH ST NATIONAL CITY CA 91950-2318
0376        $121,000.00  Canceled     518 E 15TH ST NATIONAL CITY CA 91950-4607
0388         $59,000.00  Upcoming     9669 ST GEORGE ST SPRING VALLEY CA 91977-5247
0391        $142,000.00  Upcoming     569 FLICKER ST SAN DIEGO CA 92114-4426
0392        $230,000.00  Upcoming     361 REDCREST DR SAN DIEGO CA 92114-4923
0394         $64,000.00  Canceled     8829 CRESTMORE AVE SPRING VALLEY CA 91977-4739
0395         $47,000.00  Upcoming     8586 ENCINITAS WAY SAN DIEGO CA 92114-7423
0400         $91,000.00  Upcoming     721 EASTSHORE TER #54 CHULA VISTA CA 91913-2434
0401        $120,000.00  Upcoming     1010 BAYWOOD CIR #D CHULA VISTA CA 91915-1138
0402        $186,000.00  Canceled     14160 MYRTLE ST JAMUL CA 91935-1815
0438        $302,000.00  Upcoming     570 EMORY ST #B IMPERIAL BEACH CA 91932-1556
0439        $246,000.00  Upcoming     3661 LINDBERGH ST SAN DIEGO CA 92154-1652
0440        $199,000.00  Upcoming     1210 CAMINITO CEDRO SAN DIEGO CA 92154-3244
0450        $465,000.00  Upcoming     8580 AVENIDA DE LA FUENTE SAN DIEGO CA 92154-6284
0456        $238,000.00  Upcoming     141 W SAN YSIDRO BLVD SAN YSIDRO CA 92173-2555
0466        $143,000.00  Upcoming     6924 HYDE PARK DR #319 SAN DIEGO CA 92119-2263
0468        $178,000.00  Canceled     4064 HUERFANO AVE #249 SAN DIEGO CA 92117-5210
