item_number,redfin_url
0003,https://www.redfin.com/CA/Fallbrook/919-Olive-Ave-92028/home/3053314
0005,
0034,https://www.redfin.com/CA/Warner-Springs/23436-Highway-79-92086/home/3097070
0035,
0036,https://www.redfin.com/CA/Warner-Springs/29972-Chihuahua-Valley-Rd-92086/home/113491722
0043,
0045,https://www.redfin.com/CA/Valley-Center/32456-Lilac-Rd-92082/home/167195001
0051,
0054,https://www.redfin.com/CA/Borrego-Springs/1901-Trebuchet-Dr-92004/home/3162735
0055,https://www.redfin.com/CA/Borrego-Springs/2083-Trebuchet-Dr-92004/home/22789680
0057,
0060,https://www.redfin.com/CA/Carlsbad/1024-Laguna-Dr-92008/unit-12/home/3232548
0061,https://www.redfin.com/CA/Oceanside/652-Kumquat-Way-92058/home/3268698
0063,https://www.redfin.com/CA/Vista/2167-N-Santa-Fe-Ave-92084/home/40008894
0088,
0089,
0090,
0091,
0092,
0093,https://www.redfin.com/CA/Valley-Center/15627-Via-Salvador-92082/home/3621281
0098,
0099,
0100,
0101,
0106,
0108,
0111,
0115,
0118,
0120,
0125,https://www.redfin.com/CA/San-Marcos/120-N-Pacific-St-92069/unit-K1/home/3823479
0134,
0141,
0144,
0145,
0146,
0152,https://www.redfin.com/CA/Encinitas/2887-Crystal-Ridge-Rd-92024/home/4170900
0203,
0205,https://www.redfin.com/CA/Ramona/615-Elm-St-92065/home/4280290
0207,https://www.redfin.com/CA/Ramona/155-N-Kalbaugh-St-92065/home/4288509
0208,https://www.redfin.com/CA/Ramona/2111-Toca-Ln-92065/home/4295349
0210,
0212,
0213,
0214,
0215,
0216,
0217,
0218,
0219,
0222,
0223,
0224,
0227,
0230,
0240,https://www.redfin.com/CA/San-Diego/11608-Trailbrook-Ln-92128/home/6485848
0243,https://www.redfin.com/CA/Poway/13304-Tawanka-Dr-92064/home/4789630
0245,
0257,https://www.redfin.com/CA/San-Diego/4075-Rosenda-Ct-92122/unit-278/home/4890039
0258,
0263,https://www.redfin.com/CA/San-Diego/4850-Jennifer-Ct-92117/home/4955430
0265,https://www.redfin.com/CA/Santee/10225-Alphonse-St-92071/home/5008407
0275,
0276,https://www.redfin.com/CA/El-Cajon/147-Harbison-Canyon-Rd-92019/home/5095376
0289,https://www.redfin.com/CA/Mount-Laguna/8258-Morris-Ranch-Ln-91948/home/5122599
0291,https://www.redfin.com/CA/San-Diego/5380-Alta-Bahia-Ct-92109/home/5135593
0293,https://www.redfin.com/CA/San-Diego/3558-Mount-Abbey-Ave-92111/home/5153524
0294,https://www.redfin.com/CA/San-Diego/815-Tangiers-Ct-92109/home/5181566
0295,
0296,https://www.redfin.com/CA/San-Diego/4208-Napier-St-92110/home/5217585
0297,
0299,
0300,https://www.redfin.com/CA/San-Diego/4249-Loma-Riviera-Ln-92110/home/6285234
0304,
0305,
0311,https://www.redfin.com/CA/La-Mesa/5700-Baltimore-Dr-91942/unit-220/home/5447081
0312,https://www.redfin.com/CA/San-Diego/4343-N-Talmadge-Dr-92116/home/5456487
0316,https://www.redfin.com/CA/La-Mesa/4211-Summit-Dr-91941/home/5492648
0318,
0331,
0332,
0334,
0338,https://www.redfin.com/CA/Spring-Valley/3322-Ybarra-Rd-91978/home/5675116
0340,https://www.redfin.com/CA/El-Cajon/5602-Trafalgar-Rd-92019/home/21909419
0342,https://www.redfin.com/CA/El-Cajon/1702-Layne-Pl-92019/home/5713059
0344,https://www.redfin.com/CA/Jamul/18772-Lawson-Hills-Rd-91935/home/22823839
0345,
0346,
0347,
0348,
0350,https://www.redfin.com/CA/San-Diego/425-W-Beech-St-92101/unit-534/home/6640852
0353,https://www.redfin.com/CA/San-Diego/888-W-E-St-92101/unit-1506/home/113095644
0356,https://www.redfin.com/CA/San-Diego/550-Front-St-92101/unit-902/home/7536749
0357,
0358,https://www.redfin.com/CA/Coronado/1770-Avenida-del-Mundo-92118/unit-803/home/5807148
0361,https://www.redfin.com/CA/San-Diego/6855-Radio-Dr-92114/home/5852238
0363,
0364,
0368,https://www.redfin.com/CA/National-City/1804-Gamma-St-91950/home/5904672
0369,https://www.redfin.com/CA/San-Diego/4825-Magnus-Way-92113/home/5905373
0371,https://www.redfin.com/CA/National-City/2241-Melrose-St-91950/home/5909960
0372,https://www.redfin.com/CA/National-City/312-J-Ave-91950/unit-44/home/7536770
0373,https://www.redfin.com/CA/National-City/422-E-6th-St-91950/home/5915591
0388,https://www.redfin.com/CA/Spring-Valley/9669-Saint-George-St-91977/home/6001730
0391,https://www.redfin.com/CA/San-Diego/569-Flicker-St-92114/home/6009484
0392,
0395,https://www.redfin.com/CA/San-Diego/8586-Encinitas-Way-92114/home/6029999
0400,https://www.redfin.com/CA/Chula-Vista/721-Eastshore-Ter-91913/unit-54/home/6088422
0401,https://www.redfin.com/CA/Chula-Vista/1010-Baywood-Cir-91915/unit-D/home/6094563
0427,
0428,
0429,
0438,https://www.redfin.com/CA/Imperial-Beach/570-Emory-St-91932/home/6614034
0439,https://www.redfin.com/CA/San-Diego/3661-Lindbergh-St-92154/home/6151628
0440,https://www.redfin.com/CA/San-Diego/1210-Caminito-Cedro-92154/home/6448610
0450,https://www.redfin.com/CA/San-Diego/8580-Avenida-de-la-Fuente-92154/home/22767129
0452,
0456,
0457,
0458,
0459,
0460,
0461,
0462,
0466,https://www.redfin.com/CA/San-Diego/6924-Hyde-Park-Dr-92119/unit-319/home/6249351
0469,
2000,https://www.redfin.com/CA/Oceanside/904-The-Strand-N-92054/home/3167462
2001,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
2002,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
2003,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
2004,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
2005,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
2006,https://www.redfin.com/CA/Oceanside/121-S-Pacific-St-92054/home/3182961
